name,classification,total_count,male_count,female_count,male_share,female_share,rank,prop100k,source
Michael,male,3476721,3469434,7287,0.997904,0.002096,1,1151.1119156775735,census_2020_first_names_by_sex
John,male,3125123,3118620,6503,0.997919,0.002081,2,1034.7008929557608,census_2020_first_names_by_sex
James,male,2996421,2992500,3921,0.998691,0.001309,3,992.08878638421379,census_2020_first_names_by_sex
David,male,2813017,2810463,2554,0.999092,0.000908,4,931.36532603668252,census_2020_first_names_by_sex
Robert,male,2759339,2756604,2735,0.999009,0.000991,5,913.59300970478785,census_2020_first_names_by_sex
William,male,2240114,2237906,2208,0.999014,0.000986,6,741.68215334970841,census_2020_first_names_by_sex
Mary,female,1768343,2840,1765503,0.001606,0.998394,7,585.4829013616644,census_2020_first_names_by_sex
Maria,female,1652966,3889,1649077,0.002353,0.997647,8,547.28258574958875,census_2020_first_names_by_sex
Daniel,male,1607193,1601625,5568,0.996536,0.003464,9,532.12754578051738,census_2020_first_names_by_sex
Joseph,male,1600667,1598759,1908,0.998808,0.001192,10,529.96684425695207,census_2020_first_names_by_sex
Richard,male,1575998,1574600,1398,0.999113,0.000887,11,521.79915411217189,census_2020_first_names_by_sex
Thomas,male,1506606,1505122,1484,0.999015,0.000985,12,498.82406981501424,census_2020_first_names_by_sex
Christopher,male,1499872,1497658,2214,0.998524,0.001476,13,496.59450131061811,census_2020_first_names_by_sex
Jennifer,female,1331077,977,1330100,0.000734,0.999266,14,440.70795309268635,census_2020_first_names_by_sex
Matthew,male,1315151,1313918,1233,0.999062,0.000938,15,435.43499378157645,census_2020_first_names_by_sex
Jose,male,1211106,1208093,3013,0.997512,0.002488,16,400.9866042597618,census_2020_first_names_by_sex
Charles,male,1207972,1206062,1910,0.998419,0.001581,17,399.94896426974429,census_2020_first_names_by_sex
Elizabeth,female,1206652,1112,1205540,0.000922,0.999078,18,399.51192381447208,census_2020_first_names_by_sex
Patricia,female,1189825,955,1188870,0.000803,0.999197,19,393.94065128351366,census_2020_first_names_by_sex
Linda,female,1164876,852,1164024,0.000731,0.999269,20,385.68025558761519,census_2020_first_names_by_sex
Mark,male,1135541,1134407,1134,0.999001,0.000999,21,375.96769365169865,census_2020_first_names_by_sex
Andrew,male,1075513,1073982,1531,0.998576,0.001424,22,356.09294785694169,census_2020_first_names_by_sex
Anthony,male,1075181,1073504,1677,0.998440,0.001560,23,355.98302556061566,census_2020_first_names_by_sex
Kevin,male,1015227,1013440,1787,0.998240,0.001760,24,336.13278051865422,census_2020_first_names_by_sex
Brian,male,1011020,1009891,1129,0.998883,0.001117,25,334.73987961310104,census_2020_first_names_by_sex
Susan,female,979771,564,979207,0.000576,0.999424,26,324.39360901703986,census_2020_first_names_by_sex
Steven,male,972808,971970,838,0.999139,0.000861,27,322.08822061547903,census_2020_first_names_by_sex
Jessica,female,957447,950,956497,0.000992,0.999008,28,317.00232786287586,census_2020_first_names_by_sex
Barbara,female,943006,718,942288,0.000761,0.999239,29,312.22103906394727,census_2020_first_names_by_sex
Joshua,male,939718,938250,1468,0.998438,0.001562,30,311.13241102081474,census_2020_first_names_by_sex
Paul,male,907225,906116,1109,0.998778,0.001222,31,300.37426290478487,census_2020_first_names_by_sex
Jason,male,898652,897619,1033,0.998851,0.001149,32,297.53581758429357,census_2020_first_names_by_sex
Karen,female,882576,1820,880756,0.002062,0.997938,33,292.21319458508464,census_2020_first_names_by_sex
Ryan,male,874269,853642,20627,0.976407,0.023593,34,289.46281953815577,census_2020_first_names_by_sex
Sarah,female,874128,929,873199,0.001063,0.998937,35,289.4161356713426,census_2020_first_names_by_sex
Lisa,female,864260,627,863633,0.000725,0.999275,36,286.14892717692896,census_2020_first_names_by_sex
Jacob,male,805730,804558,1172,0.998545,0.001455,37,266.77015608065511,census_2020_first_names_by_sex
Timothy,male,802946,802219,727,0.999095,0.000905,38,265.84839802953559,census_2020_first_names_by_sex
Sandra,female,780828,705,780123,0.000903,0.999097,39,258.52532167369435,census_2020_first_names_by_sex
Nancy,female,772570,644,771926,0.000834,0.999166,40,255.79117009821121,census_2020_first_names_by_sex
Eric,male,767096,765929,1167,0.998479,0.001521,41,253.97877657384757,census_2020_first_names_by_sex
Michelle,female,757098,1278,755820,0.001688,0.998312,42,250.6685262164147,census_2020_first_names_by_sex
Kenneth,male,755679,754856,823,0.998911,0.001089,43,250.1987077269971,census_2020_first_names_by_sex
Emily,female,755529,930,754599,0.001231,0.998769,44,250.14904403889798,census_2020_first_names_by_sex
Ashley,female,752330,11218,741112,0.014911,0.985089,45,249.0898831173709,census_2020_first_names_by_sex
Jeffrey,male,735428,734826,602,0.999181,0.000819,46,243.49377874236282,census_2020_first_names_by_sex
Jonathan,male,717208,716232,976,0.998639,0.001361,47,237.46129609459061,census_2020_first_names_by_sex
Donald,male,715624,714856,768,0.998927,0.001073,48,236.93684754826396,census_2020_first_names_by_sex
Nicholas,male,711305,710370,935,0.998686,0.001314,49,235.5068644222635,census_2020_first_names_by_sex
Amanda,female,698989,618,698371,0.000884,0.999116,50,231.42914453807236,census_2020_first_names_by_sex
Kimberly,female,696165,1482,694683,0.002129,0.997871,51,230.49414283679306,census_2020_first_names_by_sex
Ronald,male,689843,689245,598,0.999133,0.000867,52,228.40098392904241,census_2020_first_names_by_sex
Laura,female,679856,596,679260,0.000877,0.999123,53,225.09437557540349,census_2020_first_names_by_sex
Melissa,female,675224,599,674625,0.000887,0.999113,54,223.56076088690287,census_2020_first_names_by_sex
Justin,male,668566,666981,1585,0.997629,0.002371,55,221.35635531781028,census_2020_first_names_by_sex
Stephen,male,665596,664892,704,0.998942,0.001058,56,220.37301429344782,census_2020_first_names_by_sex
Stephanie,female,657760,609,657151,0.000926,0.999074,57,217.77858322715016,census_2020_first_names_by_sex
Gary,male,656593,655765,828,0.998739,0.001261,58,217.39219973373906,census_2020_first_names_by_sex
Scott,male,655952,655267,685,0.998956,0.001044,59,217.17997023992882,census_2020_first_names_by_sex
Juan,male,655696,651479,4217,0.993569,0.006431,60,217.09521087890636,census_2020_first_names_by_sex
Rebecca,female,645350,448,644902,0.000694,0.999306,61,213.66974076508353,census_2020_first_names_by_sex
Brandon,male,642620,640794,1826,0.997159,0.002841,62,212.76586164167972,census_2020_first_names_by_sex
Donna,female,635065,563,634502,0.000887,0.999113,63,210.26446721775434,census_2020_first_names_by_sex
George,male,631924,630400,1524,0.997588,0.002412,64,209.22450958895897,census_2020_first_names_by_sex
Amy,female,625127,505,624622,0.000808,0.999192,65,206.97408233556115,census_2020_first_names_by_sex
Deborah,female,622217,380,621837,0.000611,0.999389,66,206.01060678643839,census_2020_first_names_by_sex
Edward,male,616122,615401,721,0.998830,0.001170,67,203.99260559334442,census_2020_first_names_by_sex
Carol,female,614466,2713,611753,0.004415,0.995585,68,203.44431847673022,census_2020_first_names_by_sex
Benjamin,male,606324,605580,744,0.998773,0.001227,69,200.74857348671037,census_2020_first_names_by_sex
Angela,female,600162,836,599326,0.001393,0.998607,70,198.70838917959878,census_2020_first_names_by_sex
Cynthia,female,597780,454,597326,0.000759,0.999241,71,197.91972981258485,census_2020_first_names_by_sex
Sharon,female,583755,1134,582621,0.001943,0.998057,72,193.27617497531782,census_2020_first_names_by_sex
Samuel,male,566085,565090,995,0.998242,0.001758,73,187.42579251724231,census_2020_first_names_by_sex
Alexander,male,556757,554289,2468,0.995567,0.004433,74,184.33737329998547,census_2020_first_names_by_sex
Patrick,male,551884,551104,780,0.998587,0.001413,75,182.72396561927229,census_2020_first_names_by_sex
Margaret,female,549715,556,549159,0.001011,0.998989,76,182.00582868935911,census_2020_first_names_by_sex
Kathleen,female,547321,278,547043,0.000508,0.999492,77,181.21319622729726,census_2020_first_names_by_sex
Nicole,female,544076,773,543303,0.001421,0.998579,78,180.13880510808647,census_2020_first_names_by_sex
Tyler,male,541525,527058,14467,0.973285,0.026715,79,179.29419131914756,census_2020_first_names_by_sex
Brenda,female,521400,639,520761,0.001226,0.998774,80,172.63097983251657,census_2020_first_names_by_sex
Samantha,female,517508,660,516848,0.001275,0.998725,81,171.34237267197159,census_2020_first_names_by_sex
Anna,female,512954,657,512297,0.001281,0.998719,82,169.8345831012825,census_2020_first_names_by_sex
Larry,male,512456,511764,692,0.998650,0.001350,83,169.66969965679345,census_2020_first_names_by_sex
Gregory,male,503949,503419,530,0.998948,0.001052,84,166.85310635906578,census_2020_first_names_by_sex
Kelly,neutral,499222,61702,437520,0.123596,0.876404,85,165.28803800143572,census_2020_first_names_by_sex
Emma,female,498221,786,497435,0.001578,0.998422,86,164.95661565618764,census_2020_first_names_by_sex
Adam,male,496300,495516,784,0.998420,0.001580,87,164.32058935726499,census_2020_first_names_by_sex
Pamela,female,495991,291,495700,0.000587,0.999413,88,164.21828215978084,census_2020_first_names_by_sex
Aaron,male,494237,491571,2666,0.994606,0.005394,89,163.63754810027521,census_2020_first_names_by_sex
Rachel,female,493726,572,493154,0.001159,0.998841,90,163.46836046948422,census_2020_first_names_by_sex
Luis,male,489968,488505,1463,0.997014,0.002986,91,162.22411953697446,census_2020_first_names_by_sex
Christine,female,482596,558,482038,0.001156,0.998844,92,159.78331481253002,census_2020_first_names_by_sex
Nathan,male,481621,480994,627,0.998698,0.001302,93,159.46050083988581,census_2020_first_names_by_sex
Heather,female,473464,325,473139,0.000686,0.999314,94,156.75978948105606,census_2020_first_names_by_sex
Carlos,male,473046,471886,1160,0.997548,0.002452,95,156.62139333688651,census_2020_first_names_by_sex
Katherine,female,470588,404,470184,0.000859,0.999141,96,155.80757103456907,census_2020_first_names_by_sex
Julie,female,467484,421,467063,0.000901,0.999099,97,154.77986378217139,census_2020_first_names_by_sex
Debra,female,465857,300,465557,0.000644,0.999356,98,154.24117831192302,census_2020_first_names_by_sex
Peter,male,464396,463907,489,0.998947,0.001053,99,153.75745398983767,census_2020_first_names_by_sex
Victoria,female,452646,672,451974,0.001485,0.998515,100,149.86713175540717,census_2020_first_names_by_sex
Jordan,neutral,452330,329734,122596,0.728968,0.271032,101,149.76250691914504,census_2020_first_names_by_sex
Olivia,female,449373,582,448791,0.001295,0.998705,102,148.78347008108452,census_2020_first_names_by_sex
Lauren,female,449365,3304,446061,0.007353,0.992647,103,148.78082135105257,census_2020_first_names_by_sex
Dennis,male,448312,446940,1372,0.996940,0.003060,104,148.43218226059679,census_2020_first_names_by_sex
Kyle,male,436151,428758,7393,0.983049,0.016951,105,144.40578152077472,census_2020_first_names_by_sex
Zachary,male,435262,434625,637,0.998537,0.001463,106,144.11144139597397,census_2020_first_names_by_sex
Andrea,female,429407,5296,424111,0.012333,0.987667,107,142.1729021038386,census_2020_first_names_by_sex
Janet,female,429159,386,428773,0.000899,0.999101,108,142.09079147284805,census_2020_first_names_by_sex
Christina,female,423584,494,423090,0.001166,0.998834,109,140.24495773183102,census_2020_first_names_by_sex
Diane,female,422752,348,422404,0.000823,0.999177,110,139.96948980850794,census_2020_first_names_by_sex
Christian,male,415787,398291,17496,0.957921,0.042079,111,137.66343922443914,census_2020_first_names_by_sex
Jack,male,415678,414623,1055,0.997462,0.002538,112,137.62735027775378,census_2020_first_names_by_sex
Catherine,female,410557,345,410212,0.000840,0.999160,113,135.93183196605005,census_2020_first_names_by_sex
Megan,female,409941,455,409486,0.001110,0.998890,114,135.72787975358972,census_2020_first_names_by_sex
Frank,male,407086,406462,624,0.998467,0.001533,115,134.78261422343658,census_2020_first_names_by_sex
Ethan,male,403009,402294,715,0.998226,0.001774,116,133.43275518090269,census_2020_first_names_by_sex
Hannah,female,402723,500,402223,0.001242,0.998758,117,133.33806308226039,census_2020_first_names_by_sex
Teresa,female,402455,402,402053,0.000999,0.999001,118,133.24933062618996,census_2020_first_names_by_sex
Taylor,neutral,389216,95501,293715,0.245368,0.754632,119,128.86601351456227,census_2020_first_names_by_sex
Sara,female,384257,480,383777,0.001249,0.998751,120,127.22413198600559,census_2020_first_names_by_sex
Carolyn,female,384056,331,383725,0.000862,0.999138,121,127.15758264395278,census_2020_first_names_by_sex
Douglas,male,383164,382805,359,0.999063,0.000937,122,126.86224924539006,census_2020_first_names_by_sex
Betty,female,382966,504,382462,0.001316,0.998684,123,126.79669317709923,census_2020_first_names_by_sex
